subject,usable,age,age_group,gender,version,block_num,condition,trial_num,trial_in_block,mine_prob_win_left,mine_prob_win_right,subj_choice,feedback,latent_guess,optimal_choice,choice_RT
26,1,24.93333333,Adult,0,B,2,3,57,7,0.8,0.2,1,1,0,1,0.301936865
26,1,24.93333333,Adult,0,B,2,3,58,8,0.8,0.2,1,1,0,1,0.335293055
26,1,24.93333333,Adult,0,B,2,3,59,9,0.8,0.2,1,1,0,1,0.418493032
26,1,24.93333333,Adult,0,B,2,3,60,10,0.8,0.2,1,0,0,1,1.051607847
26,1,24.93333333,Adult,0,B,2,3,61,11,0.8,0.2,1,1,0,1,0.53518796
26,1,24.93333333,Adult,0,B,2,3,62,12,0.8,0.2,1,0,0,1,0.584911108
26,1,24.93333333,Adult,0,B,2,3,63,13,0.8,0.2,1,1,0,1,0.41860795
26,1,24.93333333,Adult,0,B,2,3,64,14,0.8,0.2,1,0,0,1,0.501933813
26,1,24.93333333,Adult,0,B,2,3,65,15,0.8,0.2,1,0,0,1,0.468465805
26,1,24.93333333,Adult,0,B,2,3,66,16,0.8,0.2,1,1,0,1,0.485130787
26,1,24.93333333,Adult,0,B,2,3,67,17,0.8,0.2,1,1,0,1,0.585063934
26,1,24.93333333,Adult,0,B,2,3,68,18,0.8,0.2,1,1,0,1,0.518438101
26,1,24.93333333,Adult,0,B,2,3,69,19,0.8,0.2,1,0,0,1,0.751729965
26,1,24.93333333,Adult,0,B,2,3,70,20,0.8,0.2,1,1,0,1,0.60173583
26,1,24.93333333,Adult,0,B,2,3,71,21,0.8,0.2,1,1,0,1,0.551962852
26,1,24.93333333,Adult,0,B,2,3,72,22,0.8,0.2,1,1,0,1,0.385211945
26,1,24.93333333,Adult,0,B,2,3,73,23,0.8,0.2,1,1,0,1,0.435233116
26,1,24.93333333,Adult,0,B,2,3,74,24,0.8,0.2,1,0,0,1,0.618652821
26,1,24.93333333,Adult,0,B,2,3,75,25,0.8,0.2,1,1,0,1,0.50189805
26,1,24.93333333,Adult,0,B,2,3,76,26,0.8,0.2,1,1,0,1,0.735124111
26,1,24.93333333,Adult,0,B,2,3,77,27,0.8,0.2,1,1,0,1,0.535250902
26,1,24.93333333,Adult,0,B,2,3,78,28,0.8,0.2,1,0,0,1,0.51672101
26,1,24.93333333,Adult,0,B,2,3,79,29,0.8,0.2,1,1,0,1,0.468185902
26,1,24.93333333,Adult,0,B,2,3,80,30,0.8,0.2,1,0,0,1,0.551681995
26,1,24.93333333,Adult,0,B,2,3,81,31,0.8,0.2,1,0,1,1,0.552096128
26,1,24.93333333,Adult,0,B,2,3,82,32,0.8,0.2,1,0,1,1,0.366718054
26,1,24.93333333,Adult,0,B,2,3,83,33,0.8,0.2,1,1,0,1,1.085043907
26,1,24.93333333,Adult,0,B,2,3,84,34,0.8,0.2,0,1,1,0,0.851778984
26,1,24.93333333,Adult,0,B,2,3,85,35,0.8,0.2,1,1,0,1,0.351905107
26,1,24.93333333,Adult,0,B,2,3,86,36,0.8,0.2,1,1,0,1,0.401808977
26,1,24.93333333,Adult,0,B,2,3,87,37,0.8,0.2,0,0,0,0,0.335261106
26,1,24.93333333,Adult,0,B,2,3,88,38,0.8,0.2,1,0,1,1,0.268682957
26,1,24.93333333,Adult,0,B,2,3,89,39,0.8,0.2,1,1,0,1,0.485267162
26,1,24.93333333,Adult,0,B,2,3,90,40,0.8,0.2,1,1,0,1,0.268618822
26,1,24.93333333,Adult,0,B,2,3,91,41,0.8,0.2,1,1,0,1,0.468728065
26,1,24.93333333,Adult,0,B,2,3,92,42,0.8,0.2,1,1,0,1,0.801858902
26,1,24.93333333,Adult,0,B,2,3,93,43,0.8,0.2,0,0,0,0,0.201850891
26,1,24.93333333,Adult,0,B,2,3,94,44,0.8,0.2,1,1,0,1,0.418785095
26,1,24.93333333,Adult,0,B,2,3,95,45,0.8,0.2,1,1,0,1,0.501970053
26,1,24.93333333,Adult,0,B,2,3,96,46,0.8,0.2,1,1,0,1,0.535035133
26,1,24.93333333,Adult,0,B,2,3,97,47,0.8,0.2,1,1,0,1,0.285183907
26,1,24.93333333,Adult,0,B,2,3,98,48,0.8,0.2,1,1,0,1,0.301967859
26,1,24.93333333,Adult,0,B,2,3,99,49,0.8,0.2,1,1,0,1,2.451237917
26,1,24.93333333,Adult,0,B,2,3,100,50,0.8,0.2,1,1,0,1,0.268621922
26,1,24.93333333,Adult,0,B,3,1,101,1,0.8,0.2,1,1,0,1,1.051763058
26,1,24.93333333,Adult,0,B,3,1,102,2,0.8,0.2,1,1,0,1,0.302010059
26,1,24.93333333,Adult,0,B,3,1,103,3,0.8,0.2,1,0,1,1,0.21875906
